Date,Open,High,Low,Close,Adj Close,Volume,ret,Mkt-RF,SMB,HML,RF,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1980-03-31,270.0,280.0,260.0,260.0,260.0,100,,-0.129,-0.0664,-0.0101,0.0121,-0.0917,-0.09480000000000001,-0.13,-0.1191,-0.12279999999999999,-0.09480000000000001,-0.1192,-0.1186,-0.13570000000000002,-0.1805
1980-04-30,275.0,275.0,275.0,275.0,275.0,0,0.05769230769230771,0.0397,0.0105,0.0108,0.0126,0.0348,0.0429,0.046,0.0356,0.044800000000000006,0.07200000000000001,0.0776,0.08380000000000001,0.0611,0.019799999999999998
1980-05-31,320.0,340.0,320.0,320.0,320.0,100,0.16363636363636358,0.0526,0.0213,0.0038,0.008100000000000001,0.0584,0.0574,0.0655,0.0512,0.0665,0.0559,0.049400000000000006,0.058600000000000006,0.0802,0.067
1980-06-30,305.0,305.0,305.0,305.0,305.0,0,-0.046875,0.030600000000000002,0.0166,-0.0076,0.0060999999999999995,0.028900000000000002,0.0344,0.0378,0.051500000000000004,0.0361,0.0151,0.055,0.0332,0.0218,0.0279
1980-07-31,340.0,340.0,340.0,340.0,340.0,0,0.11475409836065564,0.0649,0.0414,-0.0641,0.0053,0.121,0.1079,0.06559999999999999,0.0757,0.038900000000000004,0.0605,0.060599999999999994,0.0168,0.0348,0.0836
1980-08-31,380.0,380.0,380.0,380.0,380.0,0,0.11764705882352944,0.018000000000000002,0.0393,-0.026099999999999998,0.0064,0.0425,0.0258,0.0138,0.0252,0.0097,0.027000000000000003,0.0104,0.0285,0.0055000000000000005,0.016399999999999998
1980-09-30,385.0,385.0,385.0,385.0,385.0,0,0.013157894736842035,0.0219,0.0097,-0.0458,0.0075,0.039900000000000005,0.039900000000000005,0.045599999999999995,0.0608,0.0452,0.0111,0.0048,-0.0138,0.0084,-0.0014000000000000002
1980-10-31,420.0,420.0,420.0,420.0,420.0,0,0.09090909090909083,0.0106,0.025,-0.0279,0.0095,0.0321,-0.0045000000000000005,0.0339,0.045599999999999995,0.0421,0.0275,-0.0087,-0.0115,0.005,0.0134
1980-11-30,430.0,430.0,430.0,430.0,430.0,0,0.023809523809523725,0.0959,-0.0336,-0.0833,0.0096,0.12119999999999999,0.10800000000000001,0.1184,0.155,0.174,0.1065,0.030600000000000002,0.058499999999999996,0.037200000000000004,0.0175
1980-12-31,425.0,425.0,425.0,425.0,425.0,0,-0.011627906976744207,-0.0452,-0.0026,0.0279,0.0131,-0.011399999999999999,-0.0219,-0.044800000000000006,-0.0617,-0.051,-0.0395,-0.0111,-0.0091,-0.0052,-0.0091
